,Email Address,Last Name,First Name,Section,Homework Score,Quiz Score,Exam 1 Score,Exam 2 Score,Exam 3 Score,Ceiling Score,Final Grade
kxf45205,katelyn.faulkner@univ.edu,Faulkner,Katelyn,1,0.8081081081081081,0.7971014492753623,0.68,0.6,0.61,75.0,C
lba53221,lauren.anderson@univ.edu,Anderson,Lauren,2,0.793638888888889,0.6120091673032849,0.94,0.67,0.86,75.0,C
kxw26270,kimberly.williams@univ.edu,Williams,Kimberly,2,0.8027027027027027,0.6256455309396486,0.82,0.95,0.85,78.0,C
bxt62105,brandon.thomas@univ.edu,Thomas,Brandon,3,0.7635135135135135,0.6086956521739131,0.86,0.72,0.65,71.0,C
axd11293,amber.daniels@univ.edu,Daniels,Amber,2,0.8432432432432433,0.7101449275362319,0.68,0.95,0.88,82.0,B
lcr30757,laura.reid@univ.edu,Reid,Laura,3,0.7089761904761904,0.6811594202898551,0.64,0.86,0.86,74.0,C
jxw87000,john.woodard@univ.edu,Woodard,John,2,0.7693214285714286,0.8351260504201681,0.68,0.93,0.62,78.0,C
bxs54690,billy.schwartz@univ.edu,Schwartz,Billy,1,0.7418918918918919,0.7822689075630253,0.89,0.62,0.93,78.0,C
jgc21028,jill.clark@univ.edu,Clark,Jill,3,0.8243243243243243,0.6376811594202898,0.62,0.94,0.88,78.0,C
llf55044,linda.friedman@univ.edu,Friedman,Linda,3,0.8095992063492063,0.6006977336389101,0.64,0.86,0.7,73.0,C
djb29817,david.beck@univ.edu,Beck,David,1,0.7377579365079365,0.5365087853323148,0.91,0.74,0.65,68.0,D
axc64717,alec.curry@univ.edu,Curry,Alec,2,0.8756756756756757,0.7442806213394448,0.65,0.78,0.83,81.0,B
bmb94857,belinda.bailey@univ.edu,Bailey,Belinda,3,0.8281865079365079,0.6231884057971014,0.83,0.95,0.87,79.0,C
tce09928,timothy.edwards@univ.edu,Edwards,Timothy,2,0.7824324324324324,0.5544410491469315,0.68,0.73,0.71,70.0,C
hxw92728,heather.webb@univ.edu,Webb,Heather,3,0.7013513513513514,0.6521739130434783,1.0,0.61,0.62,69.0,D
abg77872,april.greer@univ.edu,Greer,April,3,0.7472972972972973,0.830776674306086,0.74,0.71,0.94,80.0,B
sgm04582,shawn.marshall@univ.edu,Marshall,Shawn,1,0.7675675675675676,0.7101449275362319,0.69,0.68,0.62,72.0,C
bms82804,beth.sanders@univ.edu,Sanders,Beth,1,0.8027027027027027,0.6376811594202898,0.73,0.71,0.67,73.0,C
mjj83180,margaret.james@univ.edu,James,Margaret,2,0.8135135135135135,0.6813368983957219,0.85,0.9,0.97,81.0,B
mxj54725,michele.jones@univ.edu,Jones,Michele,1,0.8621621621621621,0.5362318840579711,1.0,0.82,0.63,74.0,C
cxn83965,cindy.nguyen@univ.edu,Nguyen,Cindy,2,0.751015873015873,0.6407181054239878,0.82,0.68,0.82,73.0,C
cxw68726,carol.watkins@univ.edu,Watkins,Carol,2,0.8405405405405405,0.4782608695652174,0.62,0.92,0.98,75.0,C
jxw98212,jill.walsh@univ.edu,Walsh,Jill,1,0.7446746031746031,0.5507246376811594,0.73,0.99,0.78,72.0,C
jmp63760,jonathan.pena@univ.edu,Pena,Jonathan,1,0.7594594594594595,0.6521739130434783,0.74,0.79,0.84,75.0,C
sxw76890,samuel.weber@univ.edu,Weber,Samuel,1,0.8608108108108108,0.6231884057971014,0.79,0.96,0.86,80.0,B
lxs77616,leslie.sparks@univ.edu,Sparks,Leslie,2,0.7640436507936509,0.6956521739130435,0.61,0.95,0.9,78.0,C
axf16145,ashlee.foster@univ.edu,Foster,Ashlee,3,0.8337837837837838,0.8695652173913043,0.73,0.61,0.74,81.0,B
bcf26283,brandon.flores@univ.edu,Flores,Brandon,2,0.7810810810810811,0.7681159420289855,0.96,0.93,0.65,79.0,C
rge65208,richard.elliott@univ.edu,Elliott,Richard,1,0.754054054054054,0.855072463768116,0.66,0.64,0.74,77.0,C
dxp49123,douglas.payne@univ.edu,Payne,Douglas,1,0.7462857142857142,0.575902724726254,0.74,0.71,0.96,73.0,C
tgl37922,tammy.leon@univ.edu,Leon,Tammy,3,0.8094594594594594,0.6521739130434783,0.88,0.9,0.87,79.0,C
cxr98775,carol.reyes@univ.edu,Reyes,Carol,3,0.8224880952380953,0.6956521739130435,0.99,0.91,0.9,82.0,B
ajt73762,amy.terry@univ.edu,Terry,Amy,3,0.8337837837837838,0.5362318840579711,0.6,0.81,0.79,73.0,C
pmk49230,paige.king@univ.edu,King,Paige,1,0.826734126984127,0.8840579710144928,0.97,0.99,0.63,84.0,B
sxv18182,sara.vasquez@univ.edu,Vasquez,Sara,1,0.8013513513513514,0.4492753623188406,0.64,0.73,0.75,68.0,D
lxd16906,luke.davidson@univ.edu,Davidson,Luke,3,0.8297297297297297,0.6956521739130435,0.92,0.62,0.6,74.0,C
rkr43763,rhonda.rice@univ.edu,Rice,Rhonda,1,0.780420634920635,0.6666666666666666,0.61,0.98,0.96,79.0,C
bxm17365,brett.miranda@univ.edu,Miranda,Brett,3,0.7983888888888889,0.7869467787114846,0.82,0.94,0.95,84.0,B
rxd55884,rachel.dennis@univ.edu,Dennis,Rachel,3,0.7874642857142857,0.558673287496817,0.72,0.98,0.86,75.0,C
ksp17362,kristin.petersen@univ.edu,Petersen,Kristin,1,0.8283783783783784,0.4892360580595875,0.97,0.68,0.97,75.0,C
txw75701,travis.washington@univ.edu,Washington,Travis,1,0.8391891891891892,0.7528851540616246,0.94,0.74,0.68,79.0,C
rsj94156,robert.johnston@univ.edu,Johnston,Robert,3,0.7594594594594595,0.7101449275362319,0.98,0.61,0.74,74.0,C
mxb67936,michael.benton@univ.edu,Benton,Michael,3,0.7703809523809524,0.6376811594202898,0.78,0.91,0.91,77.0,C
jxj82678,jamie.johnson@univ.edu,Johnson,Jamie,2,0.9081081081081082,0.7246376811594203,0.63,0.71,0.9,82.0,B
sxs30610,stephanie.sampson@univ.edu,Sampson,Stephanie,3,0.833047619047619,0.6238349885408709,0.87,1.0,0.75,78.0,C
bgm86325,brian.myers@univ.edu,Myers,Brian,2,0.7840119047619047,0.7101449275362319,0.74,0.6,0.92,77.0,C
tbr17292,troy.raymond@univ.edu,Raymond,Troy,3,0.8418918918918918,0.5797101449275363,0.91,0.67,1.0,78.0,C
lxg35058,lori.gordon@univ.edu,Gordon,Lori,2,0.8088214285714287,0.7246376811594203,0.88,0.96,0.76,80.0,B
oxr30270,oscar.rush@univ.edu,Rush,Oscar,2,0.7554054054054054,0.5217391304347826,0.74,0.8,0.66,68.0,D
chh70562,crystal.holt@univ.edu,Holt,Crystal,2,0.7527027027027027,0.7983422459893048,0.63,0.97,0.73,78.0,C
sxt33634,sandra.thomas@univ.edu,Thomas,Sandra,1,0.787388888888889,0.6521739130434783,0.88,0.62,0.96,77.0,C
nsb43944,nathan.bates@univ.edu,Bates,Nathan,3,0.843793650793651,0.6634886681945507,0.71,0.76,0.82,78.0,C
cxc08121,charles.campbell@univ.edu,Campbell,Charles,2,0.7968571428571428,0.8115942028985508,0.66,0.96,1.0,85.0,B
vkb66346,victoria.boyd@univ.edu,Boyd,Victoria,2,0.8189189189189189,0.5599388846447669,0.68,0.93,0.69,73.0,C
txp55047,timothy.parker@univ.edu,Parker,Timothy,1,0.8055436507936508,0.8699108734402852,0.73,0.93,0.66,82.0,B
sxc85021,scott.cervantes@univ.edu,Cervantes,Scott,3,0.8481984126984129,0.6086956521739131,0.6,1.0,0.89,79.0,C
mxs33225,michelle.scott@univ.edu,Scott,Michelle,2,0.7391891891891892,0.7971014492753623,0.87,0.77,0.92,80.0,B
jxb40799,john.bauer@univ.edu,Bauer,John,1,0.8432432432432433,0.5942028985507246,0.64,0.88,0.92,78.0,C
tmo55387,tiffany.ortega@univ.edu,Ortega,Tiffany,1,0.7764920634920635,0.8115942028985508,0.7,0.82,0.62,77.0,C
kpr82051,kimberly.rhodes@univ.edu,Rhodes,Kimberly,3,0.7635135135135135,0.8115942028985508,0.61,0.62,0.97,79.0,C
mjp68159,mark.patrick@univ.edu,Patrick,Mark,1,0.8135135135135135,0.6270842882607588,0.92,0.65,0.8,75.0,C
kam90876,kimberly.moore@univ.edu,Moore,Kimberly,1,0.7945945945945946,0.7101449275362319,0.64,0.96,0.64,76.0,C
dcj14616,daniel.jones@univ.edu,Jones,Daniel,1,0.8094594594594594,0.6481996434937611,0.79,0.68,0.61,72.0,C
ara97741,amy.adams@univ.edu,Adams,Amy,1,0.741376984126984,0.7324318818436466,0.87,0.74,0.76,75.0,C
sxj49423,sarah.jones@univ.edu,Jones,Sarah,3,0.7243243243243244,0.9420289855072463,0.89,0.68,0.94,83.0,B
jag55224,jessica.garza@univ.edu,Garza,Jessica,1,0.8120912698412699,0.7681159420289855,0.9,0.79,0.62,78.0,C
eed42850,emily.dudley@univ.edu,Dudley,Emily,1,0.8054054054054054,0.5835981665393429,0.96,0.73,0.76,74.0,C
cxh80084,colleen.hart@univ.edu,Hart,Colleen,1,0.7604722222222222,0.6521739130434783,0.68,0.72,0.62,70.0,C
akr14831,alexander.rodriguez@univ.edu,Rodriguez,Alexander,2,0.7192936507936507,0.8405797101449275,0.97,0.97,0.81,81.0,B
sxs90647,samantha.smith@univ.edu,Smith,Samantha,2,0.7692619047619046,0.5942028985507246,0.69,1.0,0.74,74.0,C
axl60952,aaron.lester@univ.edu,Lester,Aaron,2,0.8243243243243243,0.5943570155334862,0.79,0.63,0.68,72.0,C
kxm62826,kimberly.mccall@univ.edu,Mccall,Kimberly,3,0.8378378378378378,0.7557422969187676,0.79,0.98,0.6,79.0,C
lxb98047,lucas.baldwin@univ.edu,Baldwin,Lucas,1,0.8567567567567568,0.7212503183091419,0.83,0.74,0.97,83.0,B
jxr10806,jason.reyes@univ.edu,Reyes,Jason,3,0.8024682539682539,0.6521739130434783,0.7,0.81,0.86,77.0,C
mxl67812,michelle.lee@univ.edu,Lee,Michelle,1,0.7743243243243243,0.8405797101449275,0.91,0.76,0.77,80.0,B
exd72538,erin.duffy@univ.edu,Duffy,Erin,1,0.7404365079365081,0.7264374840845429,0.85,0.92,0.88,79.0,C
dxj78877,dylan.johnson@univ.edu,Johnson,Dylan,3,0.7376666666666666,0.6521739130434783,0.72,0.64,0.99,74.0,C
jxo31236,john.odom@univ.edu,Odom,John,2,0.7558650793650794,0.7226890756302521,0.85,1.0,0.8,79.0,C
mxs33416,matthew.smith@univ.edu,Smith,Matthew,1,0.7838214285714286,0.647807486631016,0.66,0.63,0.93,75.0,C
txf41578,tommy.foster@univ.edu,Foster,Tommy,1,0.7743243243243243,0.6588464476699771,0.78,0.88,0.65,74.0,C
bxb28023,bradley.bryan@univ.edu,Bryan,Bradley,3,0.8527027027027027,0.7121263050674815,0.96,0.82,0.66,79.0,C
jxu45537,james.underwood@univ.edu,Underwood,James,1,0.8283783783783784,0.6376811594202898,0.77,0.76,0.84,77.0,C
kxs29884,kerry.smith@univ.edu,Smith,Kerry,1,0.797607142857143,0.6231884057971014,0.62,0.95,0.84,76.0,C
bch39598,brett.hunt@univ.edu,Hunt,Brett,1,0.8178214285714285,0.7246376811594203,0.85,0.72,0.89,80.0,B
njp08545,nicole.patterson@univ.edu,Patterson,Nicole,3,0.8175675675675675,0.7681159420289855,0.96,0.91,0.95,84.0,B
pxe53402,patricia.evans@univ.edu,Evans,Patricia,3,0.8006666666666667,0.6158492487904252,0.72,0.91,0.68,74.0,C
rcf61653,russell.flores@univ.edu,Flores,Russell,2,0.8364864864864865,0.7154519989814108,0.64,0.78,0.98,81.0,B
mat59156,michael.taylor@univ.edu,Taylor,Michael,2,0.7067567567567568,0.7246376811594203,0.91,0.68,0.66,72.0,C
axw80146,angela.warren@univ.edu,Warren,Angela,1,0.817718253968254,0.6878635090399797,0.7,0.84,0.78,77.0,C
jxp06435,jeffrey.perez@univ.edu,Perez,Jeffrey,3,0.7959459459459459,0.6376811594202898,0.67,0.81,0.95,77.0,C
cxw91147,courtney.wolf@univ.edu,Wolf,Courtney,2,0.8189007936507936,0.7377005347593583,0.88,0.86,0.62,78.0,C
axd67070,amy.dunn@univ.edu,Dunn,Amy,3,0.7864864864864864,0.6981207028265851,0.93,0.96,0.86,80.0,B
mxp86000,melissa.poole@univ.edu,Poole,Melissa,3,0.8476111111111113,0.7246376811594203,0.88,0.97,0.83,83.0,B
axd31221,angela.dunlap@univ.edu,Dunlap,Angela,2,0.8155515873015874,0.6521739130434783,0.82,0.64,0.92,77.0,C
lkw48972,levi.wilkerson@univ.edu,Wilkerson,Levi,3,0.7256756756756757,0.867450980392157,0.71,0.96,0.93,83.0,B
mjg41514,matthew.gonzalez@univ.edu,Gonzalez,Matthew,1,0.8291865079365082,0.7536231884057971,0.78,0.73,0.6,76.0,C
dxn21936,donna.nguyen@univ.edu,Nguyen,Donna,1,0.768918918918919,0.6666666666666666,0.7,0.87,0.64,73.0,C
mxs29840,marcia.stevens@univ.edu,Stevens,Marcia,2,0.8805277777777777,0.8840579710144928,0.63,0.99,0.83,88.0,B
cxa22039,christina.allen@univ.edu,Allen,Christina,1,0.8324324324324325,0.8405797101449275,0.6,0.7,0.67,79.0,C
nxm87406,nicole.mann@univ.edu,Mann,Nicole,1,0.8789920634920636,0.754985994397759,0.99,0.85,0.97,86.0,B
txj17476,tara.johnson@univ.edu,Johnson,Tara,2,0.7895079365079365,0.7067379679144385,0.71,0.91,0.95,80.0,B
pmj37756,paul.johnson@univ.edu,Johnson,Paul,3,0.7351351351351352,0.7981767252355487,0.84,0.8,0.94,80.0,B
dsl24347,danielle.lee@univ.edu,Lee,Danielle,3,0.822972972972973,0.6231884057971014,0.62,0.7,0.9,76.0,C
nxe44872,nicole.edwards@univ.edu,Edwards,Nicole,3,0.8411746031746032,0.7857957728545963,0.89,0.63,0.65,78.0,C
bxr62103,bailey.reyes@univ.edu,Reyes,Bailey,2,0.7797297297297298,0.7971014492753623,0.9,0.72,0.71,78.0,C
jxw53347,joyce.walls@univ.edu,Walls,Joyce,1,0.7513513513513513,0.6677005347593583,0.69,0.73,0.91,75.0,C
