,Email Address,Last Name,First Name,Section,Homework Score,Quiz Score,Exam 1 Score,Exam 2 Score,Exam 3 Score,Ceiling Score,Final Grade
mjg41514,matthew.gonzalez@univ.edu,Gonzalez,Matthew,1,0.8291865079365082,0.7536231884057971,0.78,0.73,0.6,76.0,C
cxg21963,cynthia.guzman@univ.edu,Guzman,Cynthia,1,0.7515119047619047,0.7536231884057971,0.64,0.74,0.66,74.0,C
jlh15029,john.harris@univ.edu,Harris,John,1,0.8621621621621621,0.7771937866055513,0.91,0.9,0.95,86.0,B
cxh80084,colleen.hart@univ.edu,Hart,Colleen,1,0.7604722222222222,0.6521739130434783,0.68,0.72,0.62,70.0,C
thh29195,taylor.hernandez@univ.edu,Hernandez,Taylor,1,0.7420674603174603,0.7461344537815127,0.92,0.83,0.98,80.0,B
edh14938,emily.houston@univ.edu,Houston,Emily,1,0.7662936507936509,0.7246376811594203,1.0,0.78,0.87,79.0,C
bch39598,brett.hunt@univ.edu,Hunt,Brett,1,0.8178214285714285,0.7246376811594203,0.85,0.72,0.89,80.0,B
dcj14616,daniel.jones@univ.edu,Jones,Daniel,1,0.8094594594594594,0.6481996434937611,0.79,0.68,0.61,72.0,C
mxj54725,michele.jones@univ.edu,Jones,Michele,1,0.8621621621621621,0.5362318840579711,1.0,0.82,0.63,74.0,C
txj12345,traci.joyce@univ.edu,Joyce,Traci,1,0.7859404761904762,0.5942028985507246,1.0,0.84,0.64,73.0,C
pmk49230,paige.king@univ.edu,King,Paige,1,0.826734126984127,0.8840579710144928,0.97,0.99,0.63,84.0,B
mxl67812,michelle.lee@univ.edu,Lee,Michelle,1,0.7743243243243243,0.8405797101449275,0.91,0.76,0.77,80.0,B
msl77920,mark.lopez@univ.edu,Lopez,Mark,1,0.75,0.7246376811594203,0.94,0.87,0.78,77.0,C
nxm87406,nicole.mann@univ.edu,Mann,Nicole,1,0.8789920634920636,0.754985994397759,0.99,0.85,0.97,86.0,B
sgm04582,shawn.marshall@univ.edu,Marshall,Shawn,1,0.7675675675675676,0.7101449275362319,0.69,0.68,0.62,72.0,C
jxm83777,jorge.miller@univ.edu,Miller,Jorge,1,0.8409682539682539,0.7690730837789661,0.74,0.73,0.81,80.0,B
kam90876,kimberly.moore@univ.edu,Moore,Kimberly,1,0.7945945945945946,0.7101449275362319,0.64,0.96,0.64,76.0,C
dxn21936,donna.nguyen@univ.edu,Nguyen,Donna,1,0.768918918918919,0.6666666666666666,0.7,0.87,0.64,73.0,C
tmo55387,tiffany.ortega@univ.edu,Ortega,Tiffany,1,0.7764920634920635,0.8115942028985508,0.7,0.82,0.62,77.0,C
txp55047,timothy.parker@univ.edu,Parker,Timothy,1,0.8055436507936508,0.8699108734402852,0.73,0.93,0.66,82.0,B
mjp68159,mark.patrick@univ.edu,Patrick,Mark,1,0.8135135135135135,0.6270842882607588,0.92,0.65,0.8,75.0,C
dxp49123,douglas.payne@univ.edu,Payne,Douglas,1,0.7462857142857142,0.575902724726254,0.74,0.71,0.96,73.0,C
jmp63760,jonathan.pena@univ.edu,Pena,Jonathan,1,0.7594594594594595,0.6521739130434783,0.74,0.79,0.84,75.0,C
ksp17362,kristin.petersen@univ.edu,Petersen,Kristin,1,0.8283783783783784,0.4892360580595875,0.97,0.68,0.97,75.0,C
bdp78944,brooke.powers@univ.edu,Powers,Brooke,1,0.8028849206349207,0.7391304347826086,0.77,0.87,0.9,81.0,B
rkr43763,rhonda.rice@univ.edu,Rice,Rhonda,1,0.780420634920635,0.6666666666666666,0.61,0.98,0.96,79.0,C
bms82804,beth.sanders@univ.edu,Sanders,Beth,1,0.8027027027027027,0.6376811594202898,0.73,0.71,0.67,73.0,C
rxs30280,richard.saunders@univ.edu,Saunders,Richard,1,0.7108108108108108,0.836384008148714,0.65,0.93,0.64,76.0,C
bxs54690,billy.schwartz@univ.edu,Schwartz,Billy,1,0.7418918918918919,0.7822689075630253,0.89,0.62,0.93,78.0,C
kxs29884,kerry.smith@univ.edu,Smith,Kerry,1,0.797607142857143,0.6231884057971014,0.62,0.95,0.84,76.0,C
mxs33416,matthew.smith@univ.edu,Smith,Matthew,1,0.7838214285714286,0.647807486631016,0.66,0.63,0.93,75.0,C
txt65366,thomas.terry@univ.edu,Terry,Thomas,1,0.7864864864864864,0.7536231884057971,0.83,0.74,0.99,81.0,B
sxt33634,sandra.thomas@univ.edu,Thomas,Sandra,1,0.787388888888889,0.6521739130434783,0.88,0.62,0.96,77.0,C
jxu45537,james.underwood@univ.edu,Underwood,James,1,0.8283783783783784,0.6376811594202898,0.77,0.76,0.84,77.0,C
sxv18182,sara.vasquez@univ.edu,Vasquez,Sara,1,0.8013513513513514,0.4492753623188406,0.64,0.73,0.75,68.0,D
jxw53347,joyce.walls@univ.edu,Walls,Joyce,1,0.7513513513513513,0.6677005347593583,0.69,0.73,0.91,75.0,C
jxw98212,jill.walsh@univ.edu,Walsh,Jill,1,0.7446746031746031,0.5507246376811594,0.73,0.99,0.78,72.0,C
axw80146,angela.warren@univ.edu,Warren,Angela,1,0.817718253968254,0.6878635090399797,0.7,0.84,0.78,77.0,C
tsw14969,tamara.warren@univ.edu,Warren,Tamara,1,0.8017658730158731,0.8405797101449275,0.77,0.8,0.99,84.0,B
txw75701,travis.washington@univ.edu,Washington,Travis,1,0.8391891891891892,0.7528851540616246,0.94,0.74,0.68,79.0,C
sxw76890,samuel.weber@univ.edu,Weber,Samuel,1,0.8608108108108108,0.6231884057971014,0.79,0.96,0.86,80.0,B
jty40106,joseph.young@univ.edu,Young,Joseph,1,0.790047619047619,0.7971072065189713,0.72,0.68,0.96,81.0,B
